# Initial guess: [-7.13711867e-04  5.27124702e-01  1.73778234e+02]
# Polynomial degree: 2
#            2
# -0.004715 x + 1.232 x + 143.4
# dam bottom method: grwl_intersection
CumArea,Elevation,Storage,Storage (mil. m3),Elevation_Observed
0.0,143.43273925858435,0.0,0.0,
0.25,143.7405470387315,38475.97251839474,0.038475972518394734,
0.5,144.047765392198,153830.21173849443,0.15383021173849443,
0.75,144.3543943189838,345915.36099013,0.34591536099013,
1.0,144.6604338190889,614584.0636031288,0.6145840636031288,
1.25,144.96588389251332,959688.9629073183,0.9596889629073182,
1.5,145.27074453925704,1381082.7022325257,1.3810827022325256,
1.75,145.57501575932008,1878617.9249085784,1.8786179249085784,
2.0,145.87869755270242,2452147.2742653037,2.4521472742653034,
2.25,146.18178991940408,3101523.3936325293,3.101523393632529,
2.5,146.48429285942504,3826598.9263400827,3.8265989263400826,
2.75,146.78620637276532,4627226.51571779,4.6272265157177905,
3.0,147.08753045942493,5503258.8050954845,5.503258805095484,
3.25,147.38826511940383,6454548.437802991,6.45454843780299,
3.5,147.68841035270205,7480948.057170139,7.4809480571701386,
3.75,147.98796615931957,8582310.306526754,8.582310306526754,
4.0,148.2869325392564,9758487.829202665,9.758487829202664,
4.25,148.58530949251258,11009333.268527701,11.009333268527701,
4.5,148.88309701908804,12334699.267831692,12.334699267831692,
4.75,149.1802951189828,13734438.47044446,13.73443847044446,
5.0,149.47690379219688,15208403.519695831,15.20840351969583,
5.25,149.77292303873028,16756447.05891564,16.75644705891564,
5.5,150.06835285858298,18378421.731433712,18.37842173143371,
5.75,150.363193251755,20074180.180579875,20.074180180579873,
6.0,150.65744421824635,21843575.04968396,21.843575049683956,
6.25,150.951105758057,23686458.98207579,23.68645898207579,
6.5,151.24417787118693,25602684.621085197,25.602684621085196,
6.75,151.5366605576362,27592104.610042002,27.592104610042,
7.0,151.82855381740478,29654571.592276037,29.654571592276035,
7.25,152.1198576504927,31789938.211117133,31.789938211117132,
7.5,152.41057205689987,33998057.10989512,33.998057109895115,
7.75,152.7006970366264,36278780.93193981,36.27878093193981,
8.0,152.99023258967222,38631962.32058105,38.631962320581046,
8.25,153.27917871603734,41057453.919148654,41.05745391914865,
8.5,153.5675354157218,43555108.37097246,43.55510837097246,
8.75,153.85530268872554,46124778.319382295,46.124778319382294,
9.0,154.1424805350486,48766316.407707974,48.766316407707976,
9.25,154.429068954691,51479575.27927934,51.47957527927933,
9.5,154.7150679476527,54264407.57742621,54.264407577426205,
9.75,155.0004775139337,57120665.945478424,57.12066594547842,
10.0,155.285297653534,60048203.0267658,60.0482030267658,
10.25,155.56952836645362,63046871.46461817,63.046871464618164,
10.5,155.85316965269257,66116523.90236536,66.11652390236536,
10.75,156.1362215122508,69257012.9833372,69.25701298333719,
11.0,156.41868394512838,72468191.3508635,72.46819135086349,
11.25,156.70055695132527,75749911.64827412,75.74991164827412,
11.5,156.98184053084145,79102026.51889887,79.10202651889887,
11.75,157.26253468367693,82524388.60606758,82.52438860606757,
12.0,157.54263940983174,86016850.55311008,86.01685055311007,
12.25,157.82215470930586,89579265.00335619,89.57926500335618,
12.5,158.10108058209929,93211484.60013574,93.21148460013573,
12.75,158.37941702821203,96913361.98677857,96.91336198677857,
13.0,158.65716404764407,100684749.8066145,100.6847498066145,
13.25,158.93432164039544,104525500.70297335,104.52550070297335,
13.5,159.21088980646613,108435467.31918496,108.43546731918495,
13.75,159.4868685458561,112414502.29857916,112.41450229857915,
14.0,159.76225785856542,116462458.28448576,116.46245828448575,
14.25,160.03705774459402,120579187.9202346,120.5791879202346,
14.5,160.31126820394192,124764543.84915552,124.76454384915552,
14.75,160.58488923660917,129018378.71457832,129.01837871457832,
15.0,160.85792084259572,133340545.15983284,133.34054515983283,
15.25,161.13036302190156,137730895.82824892,137.73089582824892,
15.5,161.40221577452672,142189283.36315638,142.18928336315636,
15.75,161.6734791004712,146715560.40788504,146.71556040788505,
16.0,161.944152999735,151309579.60576475,151.30957960576475,
16.25,162.2142374723181,155971193.60012528,155.97119360012528,
16.5,162.4837325182205,160700255.0342965,160.7002550342965,
16.75,162.75263813744223,165496616.55160826,165.49661655160827,
17.0,163.02095432998328,170360130.79539037,170.36013079539035,
17.25,163.28868109584363,175290650.40897265,175.29065040897265,
17.5,163.55581843502327,180288028.0356849,180.2880280356849,
17.75,163.82236634752223,185352116.318857,185.35211631885701,
18.0,164.08832483334052,190482767.90181878,190.48276790181876,
18.25,164.35369389247813,195679835.42790002,195.6798354279,
18.5,164.618473524935,200943171.54043058,200.94317154043057,
18.75,164.88266373071124,206272628.88274026,206.27262888274024,
19.0,165.14626450980677,211668060.09815893,211.66806009815892,
19.25,165.4092758622216,217129317.83001637,217.12931783001636,
19.5,165.67169778795576,222656254.72164246,222.65625472164245,
19.75,165.9335302870092,228248723.416367,228.24872341636697,
20.0,166.194773359382,233906576.5575198,233.90657655751977,
20.25,166.45542700507409,239629666.78843072,239.6296667884307,
20.5,166.71549122408547,245417846.75242957,245.41784675242957,
20.75,166.97496601641618,251270969.09284618,251.27096909284617,
21.0,167.2338513820662,257188886.45301038,257.18888645301035,
21.25,167.49214732103553,263171451.47625202,263.171451476252,
21.5,167.74985383332415,269218516.8059009,269.21851680590083,
21.75,168.00697091893213,275329935.0852868,275.32993508528676,
22.0,168.2634985778594,281505558.95773965,281.50555895773965,
22.25,168.51943681010596,287745241.06658924,287.74524106658924,
22.5,168.77478561567185,294048834.05516535,294.04883405516534,
22.75,169.02954499455706,300416190.56679785,300.41619056679787,
23.0,169.28371494676156,306847163.2448166,306.8471632448166,
