# Initial guess: [ 1.79771619e-03 -2.77157605e-01  5.66787228e+02]
# Polynomial degree: 2
#            2
# -0.000391 x + 0.7152 x + 456.2
# dam bottom method: grwl_intersection
CumArea,Elevation,Storage,Storage (mil. m3),Elevation_Observed
0.0,456.21679687500233,0.0,0.0,
0.25,456.3955749665182,22347.261439485068,0.022347261439485067,
0.5,456.57430417823446,89382.93578298583,0.08938293578298583,
0.75,456.752984510151,201094.80308058637,0.20109480308058636,
1.0,456.93161596226787,357470.6433823636,0.35747064338236356,
1.25,457.1101985345851,558498.2367384015,0.5584982367384015,
1.5,457.28873222710257,804165.3631987771,0.8041653631987771,
1.75,457.46721703982047,1094459.8028135744,1.0944598028135744,
2.0,457.6456529727386,1429369.3356328774,1.4293693356328774,
2.25,457.82404002585713,1808881.7417067632,1.808881741706763,
2.5,458.00237819917595,2232984.8010853156,2.2329848010853155,
2.75,458.18066749269514,2701666.2938186186,2.7016662938186187,
3.0,458.35890790641463,3214913.999956757,3.2149139999567566,
3.25,458.53709944033443,3772715.6995498063,3.7727156995498063,
3.5,458.7152420944546,4375059.1726478515,4.375059172647851,
3.75,458.89333586877507,5021932.1993009765,5.021932199300976,
4.0,459.07138076329585,5713322.559559259,5.713322559559258,
4.25,459.249376778017,6449218.033472781,6.449218033472781,
4.5,459.4273239129384,7229606.401091621,7.229606401091621,
4.75,459.6052221680602,8054475.442465863,8.054475442465863,
5.0,459.7830715433823,8923812.937645592,8.923812937645591,
5.25,459.9608720389047,9837606.666680884,9.837606666680884,
5.5,460.13862365462745,10795844.409621822,10.795844409621822,
5.75,460.31632639055056,11798513.94651849,11.79851394651849,
6.0,460.49398024667397,12845603.057420973,12.845603057420972,
6.25,460.6715852229977,13937099.522379348,13.937099522379347,
6.5,460.8491413195218,15072991.1214437,15.0729911214437,
6.75,461.02664853624617,16253265.63466411,16.25326563466411,
7.0,461.2041068731709,17477910.84209066,17.477910842090658,
7.25,461.38151633029594,18746914.523773428,18.746914523773427,
7.5,461.55887690762125,20060264.459762495,20.060264459762493,
7.75,461.736188605147,21417948.430107944,21.41794843010794,
8.0,461.913451422873,22819954.21485986,22.81995421485986,
8.25,462.09066536079933,24266269.594068315,24.266269594068312,
8.5,462.267830418926,25756882.347783398,25.756882347783396,
8.75,462.444946597253,27291780.25605519,27.29178025605519,
9.0,462.62201389578036,28870951.098933782,28.87095109893378,
9.25,462.799032314508,30494382.656469245,30.49438265646924,
9.5,462.976001853436,32162062.70871166,32.16206270871166,
