# Initial guess: [ 4.13838162e-04 -3.27829080e-01  7.86356802e+02]
# Polynomial degree: 2
#            2
# 0.0001335 x + 0.1087 x + 620.4
# dam bottom method: grwl_intersection
CumArea,Elevation,Storage,Storage (mil. m3),Elevation_Observed
0.0,620.4373168947234,0.0,0.0,
0.25,620.4645070660598,3398.771417053581,0.003398771417053581,
0.5,620.491713921573,13597.171190312452,0.013597171190312451,
0.75,620.518937461263,30599.370363972866,0.030599370363972866,
1.0,620.5461776851297,54409.53998221687,0.05440953998221687,
1.25,620.5734345931731,85031.8510892265,0.0850318510892265,
1.5,620.6007081853934,122470.47472919803,0.12247047472919803,
1.75,620.6279984617904,166729.5819463277,0.1667295819463277,
2.0,620.6553054223642,217813.34378481176,0.21781334378481176,
2.25,620.6826290671147,275725.9312888323,0.27572593128883227,
2.5,620.7099693960421,340471.51550258545,0.3404715155025854,
2.75,620.7373264091461,412054.2674702676,0.4120542674702676,
3.0,620.764700106427,490478.35823606077,0.49047835823606073,
3.25,620.7920904878845,575747.9588441469,0.5757479588441469,
3.5,620.8194975535189,667867.2403387225,0.6678672403387225,
3.75,620.84692130333,766840.3737639835,0.7668403737639835,
4.0,620.8743617373178,872671.5301641121,0.872671530164112,
4.25,620.9018188554825,985364.8805833046,0.9853648805833045,
4.5,620.9292926578239,1104924.596065757,1.104924596065757,
4.75,620.956783144342,1231354.8476556519,1.2313548476556517,
5.0,620.9842903150369,1364659.8063971708,1.3646598063971707,
5.25,621.0118141699087,1504843.6433345242,1.5048436433345243,
5.5,621.039354708957,1651910.5295118946,1.6519105295118945,
5.75,621.0669119321823,1805864.6359734635,1.8058646359734634,
6.0,621.0944858395843,1966710.1337634418,1.9667101337634418,
6.25,621.122076431163,2134451.193926011,2.134451193926011,
6.5,621.1496837069185,2309091.987505354,2.309091987505354,
6.75,621.1773076668508,2490636.685545666,2.490636685545666,
7.0,621.2049483109597,2679089.45909113,2.6790894590911303,
7.25,621.2326056392455,2874454.479185942,2.874454479185942,
7.5,621.2602796517081,3076735.916874298,3.0767359168742976,
7.75,621.2879703483474,3285937.94320038,3.28593794320038,
8.0,621.3156777291634,3502064.7292083846,3.5020647292083846,
8.25,621.3434017941563,3725120.4459425076,3.7251204459425074,
8.5,621.3711425433258,3955109.2644469314,3.9551092644469312,
8.75,621.3988999766722,4192035.355765838,4.192035355765838,
9.0,621.4266740941954,4435902.890943438,4.435902890943438,
9.25,621.4544648958952,4686716.041023913,4.686716041023913,
9.5,621.4822723817718,4944478.977051445,4.944478977051445,
9.75,621.5100965518253,5209195.870070245,5.2091958700702445,
10.0,621.5379374060554,5480870.891124495,5.480870891124495,
10.25,621.5657949444624,5759508.211258377,5.759508211258376,
10.5,621.5936691670461,6045112.001516087,6.045112001516086,
10.75,621.6215600738064,6337686.432941807,6.3376864329418074,
11.0,621.6494676647437,6637235.676579734,6.637235676579734,
11.25,621.6773919398577,6943763.903474064,6.943763903474063,
11.5,621.7053328991484,7257275.284668977,7.257275284668977,
11.75,621.7332905426159,7577773.9912086725,7.577773991208672,
12.0,621.7612648702602,7905264.194137345,7.905264194137344,
12.25,621.7892558820812,8239750.064499176,8.239750064499177,
12.5,621.817263578079,8581235.77333835,8.58123577333835,
12.75,621.8452879582535,8929725.49169906,8.92972549169906,
13.0,621.8733290226048,9285223.390625505,9.285223390625504,
13.25,621.9013867711329,9647733.64116188,9.64773364116188,
13.5,621.9294612038377,10017260.414352367,10.017260414352366,
13.75,621.9575523207194,10393807.881241161,10.39380788124116,
14.0,621.9856601217778,10777380.21287246,10.77738021287246,
14.25,622.0137846070129,11167981.580290446,11.167981580290446,
14.5,622.0419257764247,11565616.1545393,11.565616154539299,
14.75,622.0700836300134,11970288.10666322,11.970288106663219,
15.0,622.0982581677788,12382001.607706401,12.382001607706401,
15.25,622.126449389721,12800760.828713026,12.800760828713026,
15.5,622.1546572958399,13226569.94072729,13.22656994072729,
15.75,622.1828818861356,13659433.11479339,13.659433114793389,
16.0,622.211123160608,14099354.521955507,14.099354521955506,
16.25,622.2393811192572,14546338.333257824,14.546338333257824,
16.5,622.2676557620832,15000388.719744537,15.000388719744537,
16.75,622.295947089086,15461509.852459842,15.46150985245984,
17.0,622.3242551002655,15929705.902447937,15.929705902447937,
17.25,622.3525797956218,16404981.040753001,16.404981040753,
17.5,622.3809211751549,16887339.438419234,16.887339438419232,
17.75,622.4092792388647,17376785.26649083,17.376785266490828,
18.0,622.4376539867511,17873322.696011953,17.873322696011954,
18.25,622.4660454188145,18376955.898026805,18.376955898026804,
18.5,622.4944535350546,18887689.043579597,18.887689043579595,
18.75,622.5228783354714,19405526.303714506,19.405526303714506,
19.0,622.551319820065,19930471.84947572,19.93047184947572,
19.25,622.5797779888354,20462529.85190743,20.462529851907426,
19.5,622.6082528417825,21001704.48205382,21.001704482053817,
19.75,622.6367443789064,21547999.910959087,21.547999910959085,
20.0,622.665252600207,22101420.309667427,22.101420309667425,
